2022-05-16 14:54:54,B,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 14:55:24,EFF,1,Inside,Grace,None,None,None
2022-05-16 14:56:41,E,
2022-05-16 15:12:25,B,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 15:12:29,E,
2022-05-16 15:12:38,B,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 15:12:44,EFF,1,Inside,Grace,None,None,None
2022-05-16 15:13:02,E,
2022-05-16 15:14:43,B,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 15:14:46,EFF,1,Inside,Grace,None,None,None
2022-05-16 15:15:54,E,
2022-05-16 15:16:33,B,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 15:16:40,EFF,1,Inside,Grace,None,None,None
2022-05-16 15:17:48,EFF,0,Inside,Grace,None,None,None
2022-05-16 15:17:58,E,
2022-05-16 15:18:55,B,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 15:18:56,EFF,1,Inside,Grace,None,None,None
2022-05-16 15:20:01,EFF,0,Inside,Grace,None,None,None
2022-05-16 15:20:11,E,
